Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2021,AXISBANK,EQ,620.45,620.25,625.45,617.55,623.4,623.8,622.15,6047062,3.76E+14,84795,1473702,0.2437
04-01-2021,AXISBANK,EQ,623.8,627.8,633,621.3,625.75,624.7,626.37,14068156,8.81E+14,140952,4978865,0.3539
05-01-2021,AXISBANK,EQ,624.7,618,667.9,618,664.15,664.45,649.82,37973963,2.47E+15,393175,7508705,0.1977
06-01-2021,AXISBANK,EQ,664.45,662,667.15,649.15,651.55,654.25,659.35,20829645,1.37E+15,232735,6664514,0.32
07-01-2021,AXISBANK,EQ,654.25,659,676.5,659,670.1,671.1,668.78,17887570,1.20E+15,203566,3830175,0.2141
08-01-2021,AXISBANK,EQ,671.1,678,678.85,668.5,672.95,672.7,673.19,12272794,8.26E+14,136289,5669577,0.462
11-01-2021,AXISBANK,EQ,672.7,676,676.65,660.15,666.9,666.95,665.41,7928365,5.28E+14,103383,2038371,0.2571
12-01-2021,AXISBANK,EQ,666.95,661.3,685,659.25,674.9,675.7,673.93,13301893,8.96E+14,189900,3735145,0.2808
13-01-2021,AXISBANK,EQ,675.7,676,691.2,669.05,686.05,687.8,682.48,15645903,1.07E+15,202987,4948904,0.3163
14-01-2021,AXISBANK,EQ,687.8,678.5,687.8,674.65,676.5,676,680.9,9337503,6.36E+14,184285,2905765,0.3112
15-01-2021,AXISBANK,EQ,676,677.6,682.95,669.6,674.75,674.85,675.83,12339771,8.34E+14,160977,3805737,0.3084
18-01-2021,AXISBANK,EQ,674.85,674.45,675,651.15,652,657,665.06,13460603,8.95E+14,171985,4677641,0.3475
19-01-2021,AXISBANK,EQ,657,663.55,671.95,659.75,670.5,668.75,667.4,9010539,6.01E+14,129722,3752374,0.4164
20-01-2021,AXISBANK,EQ,668.75,664,680.95,664,673.7,675.75,675.49,9980614,6.74E+14,123196,3971012,0.3979
21-01-2021,AXISBANK,EQ,675.75,680.75,695,669.75,678,675.85,686.3,15849438,1.09E+15,239767,5214484,0.329
22-01-2021,AXISBANK,EQ,675.85,670,673.9,638.8,645.55,644.5,650.47,21392223,1.39E+15,312423,8001295,0.374
25-01-2021,AXISBANK,EQ,644.5,654,668,639.35,658,658.4,659.39,21325345,1.41E+15,236342,7472590,0.3504
27-01-2021,AXISBANK,EQ,658.4,659.95,663.8,627.4,633.55,632.1,641.63,24462588,1.57E+15,374828,9563705,0.391
28-01-2021,AXISBANK,EQ,632.1,622,674.7,616,667.1,670.7,651.91,64303975,4.19E+15,573501,18643969,0.2899
29-01-2021,AXISBANK,EQ,670.7,671,675.85,653,666.45,662.9,663.09,31273252,2.07E+15,350863,11654415,0.3727
01-02-2021,AXISBANK,EQ,662.9,665,717,654.35,714,709.35,686.12,30648270,2.10E+15,420444,10100954,0.3296
02-02-2021,AXISBANK,EQ,709.35,719.25,744.95,704.2,718.5,714.2,722.7,28703320,2.07E+15,336082,8276420,0.2883
03-02-2021,AXISBANK,EQ,714.2,720,736.8,715.55,731.3,733.8,729.55,23541361,1.72E+15,367908,10647564,0.4523
04-02-2021,AXISBANK,EQ,733.8,730,745.5,720.6,743.6,743.9,734.67,20490289,1.51E+15,451426,7809178,0.3811
05-02-2021,AXISBANK,EQ,743.9,749,766.3,717,722.65,719.6,741.96,31121503,2.31E+15,381780,8725102,0.2804
08-02-2021,AXISBANK,EQ,719.6,726,747.8,726,735.75,736.15,739.35,15662890,1.16E+15,279438,4963408,0.3169
09-02-2021,AXISBANK,EQ,736.15,735.75,750,726.2,740,742.5,740.18,22307807,1.65E+15,214724,10969040,0.4917
10-02-2021,AXISBANK,EQ,742.5,741.55,746.4,726.1,737,734.8,733.3,15140744,1.11E+15,218238,6113880,0.4038
11-02-2021,AXISBANK,EQ,734.8,731,744.15,731,740.55,740.1,738.91,11897710,8.79E+14,179789,4355727,0.3661
12-02-2021,AXISBANK,EQ,740.1,735.5,754.7,734.55,749.9,750.4,746.92,15668442,1.17E+15,208754,4884471,0.3117
15-02-2021,AXISBANK,EQ,750.4,759.9,799,753.9,797,794,777.14,20648115,1.60E+15,305990,5300873,0.2567
16-02-2021,AXISBANK,EQ,794,799,799,767,776.55,775.05,779.33,23968943,1.87E+15,469034,10646124,0.4442
17-02-2021,AXISBANK,EQ,775.05,774,785,764.3,775.5,777.75,776.04,16956357,1.32E+15,213111,4743230,0.2797
18-02-2021,AXISBANK,EQ,777.75,775,782,764,775.9,777,774.1,19685663,1.52E+15,213912,9489649,0.4821
19-02-2021,AXISBANK,EQ,777,772.9,777.2,741.35,750.6,749.65,761.1,15634787,1.19E+15,237598,5213024,0.3334
22-02-2021,AXISBANK,EQ,749.65,749.65,749.85,715,720.5,719.45,729.24,18123202,1.32E+15,246940,7319651,0.4039
23-02-2021,AXISBANK,EQ,719.45,732.35,734.95,712.6,718,715.95,723.36,16804763,1.22E+15,209036,5014217,0.2984
24-02-2021,AXISBANK,EQ,715.95,722,754.9,717.05,752.8,749.4,733.8,11207286,8.22E+14,138731,3300528,0.2945
25-02-2021,AXISBANK,EQ,749.4,765,783.5,762.15,769,770.65,774.88,26635119,2.06E+15,367784,7596102,0.2852
26-02-2021,AXISBANK,EQ,770.65,746,758.7,718.65,725.35,724.8,735.47,31306177,2.30E+15,359614,13576999,0.4337
01-03-2021,AXISBANK,EQ,724.8,738,743.5,722.25,730.45,728.55,732.35,14301187,1.05E+15,206937,3935516,0.2752
02-03-2021,AXISBANK,EQ,728.55,730.45,740.5,722,730.85,731.25,730.29,14503453,1.06E+15,184648,5719038,0.3943
03-03-2021,AXISBANK,EQ,731.25,740.5,760.8,735.1,751.9,753.95,750.05,13603791,1.02E+15,194215,4658861,0.3425
04-03-2021,AXISBANK,EQ,753.95,731.1,751.45,731.1,737,736.8,740.1,16896947,1.25E+15,189661,6062735,0.3588
05-03-2021,AXISBANK,EQ,736.8,732,744.1,720.5,734.5,730.75,732.57,16358252,1.20E+15,208331,4674313,0.2857
08-03-2021,AXISBANK,EQ,730.75,735,752.5,732,745,743.3,744.17,13898556,1.03E+15,177509,4289358,0.3086
09-03-2021,AXISBANK,EQ,743.3,758.7,758.7,740,744.6,745.45,748.48,18951683,1.42E+15,276230,7722367,0.4075
10-03-2021,AXISBANK,EQ,745.45,750.5,765.7,749.15,759.2,760.75,757.88,13377990,1.01E+15,174204,3269198,0.2444
