Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2021,ICICIBANK,EQ,535.05,535.55,537,526.1,527.8,527.5,529.68,13592625,7.20E+14,156898,4502751,0.3313
04-01-2021,ICICIBANK,EQ,527.5,532.3,535,524.3,531.7,531.7,530.07,16549750,8.77E+14,179521,6014993,0.3634
05-01-2021,ICICIBANK,EQ,531.7,526.65,539.95,523,536.65,537.25,530.42,23311516,1.24E+15,198989,8641365,0.3707
06-01-2021,ICICIBANK,EQ,537.25,538.75,550.6,535.85,544.9,546.7,544.25,28178838,1.53E+15,256515,8046348,0.2855
07-01-2021,ICICIBANK,EQ,546.7,552.15,554.4,539.75,542.25,541.1,546.2,21138034,1.15E+15,204824,9858553,0.4664
08-01-2021,ICICIBANK,EQ,541.1,547,547.1,536.35,542,542.05,541.01,21937965,1.19E+15,169218,10666796,0.4862
11-01-2021,ICICIBANK,EQ,542.05,545.15,546,535,545.2,544.7,540.62,19394393,1.05E+15,201986,8203892,0.423
12-01-2021,ICICIBANK,EQ,544.7,541,550.65,537.1,547.95,548,544.09,16388310,8.92E+14,225207,6237728,0.3806
13-01-2021,ICICIBANK,EQ,548,551.5,561,548.25,556,556.5,554.8,21920297,1.22E+15,228055,8122765,0.3706
14-01-2021,ICICIBANK,EQ,556.5,554.05,558.45,550.6,553.6,553.3,553.49,13330898,7.38E+14,204427,6118968,0.459
15-01-2021,ICICIBANK,EQ,553.3,550,551,541.5,541.95,543,545.13,15708956,8.56E+14,256949,7138795,0.4544
18-01-2021,ICICIBANK,EQ,543,544.5,548.4,528.9,530.45,533.15,539.34,21580313,1.16E+15,242319,9214897,0.427
19-01-2021,ICICIBANK,EQ,533.15,539,547.75,533.9,547,546.45,540.53,20575358,1.11E+15,173894,11834015,0.5752
20-01-2021,ICICIBANK,EQ,546.45,546.45,554.6,546,550.75,551,551.04,16097138,8.87E+14,203783,7319843,0.4547
21-01-2021,ICICIBANK,EQ,551,555,561,549.7,553.1,552.7,556.1,18189277,1.01E+15,239999,8963282,0.4928
22-01-2021,ICICIBANK,EQ,552.7,553.1,553.5,530.6,532,533.8,540.16,24515997,1.32E+15,286973,12680501,0.5172
25-01-2021,ICICIBANK,EQ,533.8,536.55,542.3,531.2,537.3,538.05,536.87,23415249,1.26E+15,230605,11414356,0.4875
27-01-2021,ICICIBANK,EQ,538.05,537.8,539.2,519.1,522.75,522.35,528.25,28049286,1.48E+15,346606,15695957,0.5596
28-01-2021,ICICIBANK,EQ,522.35,514.6,529.85,512,528.25,528.25,520.72,29836591,1.55E+15,340760,11733669,0.3933
29-01-2021,ICICIBANK,EQ,528.25,533.35,544.95,529.45,538.95,537,536.18,33172808,1.78E+15,299110,16098213,0.4853
01-02-2021,ICICIBANK,EQ,537,552,609.45,551,608.75,603.8,580.42,69354326,4.03E+15,677016,21819254,0.3146
02-02-2021,ICICIBANK,EQ,603.8,613,624,598.7,618.45,617.35,613.06,42362384,2.60E+15,425599,12159902,0.287
03-02-2021,ICICIBANK,EQ,617.35,623.4,627.5,614,621.3,622.35,620.98,27155908,1.69E+15,297041,11691236,0.4305
04-02-2021,ICICIBANK,EQ,622.35,618.8,631.65,609,626.35,628.3,620.28,29982222,1.86E+15,325725,12251022,0.4086
05-02-2021,ICICIBANK,EQ,628.3,628.3,635.3,611,617,614.15,621.31,32015570,1.99E+15,393296,11570841,0.3614
08-02-2021,ICICIBANK,EQ,614.15,622.35,633.95,622.35,629.4,629.6,629.35,18230551,1.15E+15,207409,7076895,0.3882
09-02-2021,ICICIBANK,EQ,629.6,631.35,643.2,628.6,631.55,633.35,636.01,27155615,1.73E+15,289954,13475412,0.4962
10-02-2021,ICICIBANK,EQ,633.35,633.35,638.2,626.4,632.5,632.15,632.79,23967387,1.52E+15,245454,11204614,0.4675
11-02-2021,ICICIBANK,EQ,632.15,626.75,633.6,624.1,631.25,630.65,628.85,16072702,1.01E+15,265311,7491438,0.4661
12-02-2021,ICICIBANK,EQ,630.65,629.9,649.9,629.4,647.05,647.6,641.59,19049709,1.22E+15,185553,6009852,0.3155
15-02-2021,ICICIBANK,EQ,647.6,655,676.8,652,674.6,673.95,665.53,27155194,1.81E+15,321530,9440787,0.3477
16-02-2021,ICICIBANK,EQ,673.95,673.4,679.4,649.55,658.15,658.35,660.32,24966739,1.65E+15,279739,10487577,0.4201
17-02-2021,ICICIBANK,EQ,658.35,654.8,664.95,649.35,654.5,657.35,657.26,21684753,1.43E+15,250232,8922984,0.4115
18-02-2021,ICICIBANK,EQ,657.35,650,652.4,637.6,644.9,644.65,644.05,27845347,1.79E+15,327130,13603206,0.4885
19-02-2021,ICICIBANK,EQ,644.65,635.5,635.5,619,625.4,624.05,627.94,24055811,1.51E+15,351586,10486329,0.4359
22-02-2021,ICICIBANK,EQ,624.05,622,629.3,607.3,608.95,609.85,615.13,27092321,1.67E+15,257181,15037028,0.555
23-02-2021,ICICIBANK,EQ,609.85,614.75,623.05,609.05,614.05,616.3,615.87,23534585,1.45E+15,250608,11621663,0.4938
24-02-2021,ICICIBANK,EQ,616.3,615.1,645,615.1,640,641.1,627.97,17762047,1.12E+15,178082,6728252,0.3788
25-02-2021,ICICIBANK,EQ,641.1,642.7,648.4,626.3,629,628,636.34,38571809,2.45E+15,389701,16354151,0.424
26-02-2021,ICICIBANK,EQ,628,615,615,590.9,597.25,597.75,599.8,57349273,3.44E+15,590244,25874100,0.4512
01-03-2021,ICICIBANK,EQ,597.75,607.55,611.85,600.2,609.5,608.35,606.56,21527318,1.31E+15,219929,8912673,0.414
02-03-2021,ICICIBANK,EQ,608.35,610,616.5,599,610.95,610.5,607.95,24051433,1.46E+15,260670,10074339,0.4189
03-03-2021,ICICIBANK,EQ,610.5,618,633.75,613.85,632,632.1,624.94,21036174,1.31E+15,250356,12197156,0.5798
04-03-2021,ICICIBANK,EQ,632.1,618.75,630.9,615.8,621.8,620.75,622.95,25057198,1.56E+15,215674,13357832,0.5331
05-03-2021,ICICIBANK,EQ,620.75,613.2,614.7,601.5,611.6,609.45,609.04,26645968,1.62E+15,264631,11640138,0.4368
08-03-2021,ICICIBANK,EQ,609.45,611.6,616,601.15,608.5,608.05,608.71,19632433,1.20E+15,214377,8140296,0.4146
09-03-2021,ICICIBANK,EQ,608.05,614.85,628.35,612.3,624.05,625.1,621.7,23056249,1.43E+15,233565,9553095,0.4143
10-03-2021,ICICIBANK,EQ,625.1,628.75,630.5,621.8,626,625.6,625.75,15838994,9.91E+14,177498,7569902,0.4779
12-03-2021,ICICIBANK,EQ,625.6,631.45,638,608.35,613.45,612.85,623.16,21757862,1.36E+15,225340,9775188,0.4493
15-03-2021,ICICIBANK,EQ,612.85,611.9,612.85,590.6,603.65,603.5,598.88,24348723,1.46E+15,370051,10481019,0.4305
16-03-2021,ICICIBANK,EQ,603.5,606.85,607,593.65,594.6,594.95,600.09,17925629,1.08E+15,237835,6845591,0.3819
17-03-2021,ICICIBANK,EQ,594.95,597.55,603.65,587,587,589.5,595.15,20214082,1.20E+15,268521,8131988,0.4023
18-03-2021,ICICIBANK,EQ,589.5,594.75,601.4,575.5,579.8,578.6,587.32,22776537,1.34E+15,286561,9223598,0.405
19-03-2021,ICICIBANK,EQ,578.6,575.2,588.9,570,587,586.65,578.57,29162618,1.69E+15,323501,11678725,0.4005
22-03-2021,ICICIBANK,EQ,586.65,586.85,586.85,569.5,573.7,573.45,575.8,21755401,1.25E+15,307965,8128446,0.3736
23-03-2021,ICICIBANK,EQ,573.45,576,589.25,574.3,586,586.4,580.73,29486417,1.71E+15,291301,13147294,0.4459
24-03-2021,ICICIBANK,EQ,586.4,580,580.55,565,569.2,567.5,571.59,24434219,1.40E+15,304673,10391430,0.4253
25-03-2021,ICICIBANK,EQ,567.5,568.1,579,557.1,570.6,571.55,568.55,27170186,1.54E+15,279750,8348523,0.3073
26-03-2021,ICICIBANK,EQ,571.55,584.5,584.5,574.3,580,578.55,579.48,20724410,1.20E+15,284259,7321098,0.3533
30-03-2021,ICICIBANK,EQ,578.55,582,593.1,582,591.6,591.45,588.45,28012288,1.65E+15,266625,14467009,0.5165
31-03-2021,ICICIBANK,EQ,591.45,586,589.65,579,582.75,582.1,582.19,20119972,1.17E+15,236863,9801739,0.4872
01-04-2021,ICICIBANK,EQ,582.1,587.55,596.1,580.2,594.75,594.4,587.17,15631940,9.18E+14,187284,5461849,0.3494
05-04-2021,ICICIBANK,EQ,594.4,592,592,563.5,572,571.25,572.46,23260127,1.33E+15,269197,8775222,0.3773
06-04-2021,ICICIBANK,EQ,571.25,574.7,578.5,564.4,567.35,565.9,569.36,23284697,1.33E+15,283888,9362633,0.4021
07-04-2021,ICICIBANK,EQ,565.9,566.55,580,559.4,576.75,577.65,573.84,23984399,1.38E+15,220773,10395598,0.4334
08-04-2021,ICICIBANK,EQ,577.65,582,585.85,573.3,576.7,576.7,579.98,19262565,1.12E+15,205706,8931243,0.4637
09-04-2021,ICICIBANK,EQ,576.7,573.95,579,565,565.95,566.2,570.46,23239564,1.33E+15,259880,11387727,0.49
12-04-2021,ICICIBANK,EQ,566.2,551.4,551.95,531.15,540.9,538.55,540.9,26601702,1.44E+15,391762,13125799,0.4934
13-04-2021,ICICIBANK,EQ,538.55,541,563.8,537.85,559.6,560.6,554.46,25445897,1.41E+15,298088,11063465,0.4348
15-04-2021,ICICIBANK,EQ,560.6,565.95,576.75,554.15,575.75,575.2,567.41,37614884,2.13E+15,319800,18418969,0.4897
16-04-2021,ICICIBANK,EQ,575.2,574.6,577.75,564.1,565.05,566.95,569.62,24045008,1.37E+15,259366,10755676,0.4473
19-04-2021,ICICIBANK,EQ,566.95,550,562.3,534.4,560.4,559.75,547.46,28526176,1.56E+15,301440,13059152,0.4578
20-04-2021,ICICIBANK,EQ,559.75,565.2,572.65,552.6,558.4,559.1,562.91,24425842,1.37E+15,265471,9693374,0.3968
22-04-2021,ICICIBANK,EQ,559.1,552,580.6,546.9,578.4,579.2,570.14,34942633,1.99E+15,340989,12430125,0.3557
23-04-2021,ICICIBANK,EQ,579.2,569.9,580.5,567.05,567.5,569.95,572.81,33749097,1.93E+15,364665,10861229,0.3218
26-04-2021,ICICIBANK,EQ,569.95,602,605.5,588,588.7,591.1,596.22,62584522,3.73E+15,546696,16913351,0.2702
27-04-2021,ICICIBANK,EQ,591.1,593.25,601.95,591.1,599,598.75,597.63,24239685,1.45E+15,233412,9056247,0.3736
28-04-2021,ICICIBANK,EQ,598.75,598,622.8,598,619.7,621.35,612.57,33292864,2.04E+15,295406,14011476,0.4209
29-04-2021,ICICIBANK,EQ,621.35,622.55,628.45,609,621,621.45,619.55,34537860,2.14E+15,304029,10324897,0.2989
30-04-2021,ICICIBANK,EQ,621.45,610.1,616.35,598.1,599.7,600.5,607.02,23653258,1.44E+15,247055,7292392,0.3083
